what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620740211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620752024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769620753721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620760390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620766319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769620779608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620803911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620818177
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1769620819801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620822004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620822579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769620892112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621146608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769621147622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621153722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621159493
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621159884
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621164526
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621179453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769621194164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769621195460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769621196726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621198969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621204827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621210952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769621214730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621231531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621236556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769621240305
